R_3nqIbIbz6QI0s3j,block,trial,cond,cat,resp,err,rt,fb
,1,0,instructions,dummyForLog,space,0,3187,
,1,1,example,examplePrime,Pleasant,0,1350,
,1,2,example,examplePrime,Unpleasant,1,221,
,1,3,example,examplePrime,Unpleasant,1,134,
,2,4,instructions,dummyForLog,space,0,832,
,2,5,White people,White people,Pleasant,0,105,
,2,6,Black people,Black people,Unpleasant,1,201,
,2,7,Black people,Black people,Pleasant,0,200,
,2,8,White people,White people,Unpleasant,1,264,
,2,9,White people,White people,Unpleasant,1,58,
,2,10,Black people,Black people,Unpleasant,1,95,
,2,11,Black people,Black people,Unpleasant,1,60,
,2,12,White people,White people,Unpleasant,1,32,
,2,13,Black people,Black people,Pleasant,0,174,
,2,14,White people,White people,Pleasant,0,188,
,2,15,White people,White people,Unpleasant,1,66,
,2,16,Black people,Black people,Pleasant,0,115,
,2,17,Black people,Black people,Pleasant,0,137,
,2,18,White people,White people,Pleasant,0,46,
,2,19,White people,White people,Unpleasant,1,81,
,2,20,Black people,Black people,Pleasant,0,37,
,2,21,Black people,Black people,Pleasant,0,160,
,2,22,White people,White people,Pleasant,0,7,
,2,23,Black people,Black people,Unpleasant,1,45,
,2,24,White people,White people,Pleasant,0,54,
,2,25,Black people,Black people,Unpleasant,1,82,
,2,26,White people,White people,Pleasant,0,42,
,2,27,Black people,Black people,Unpleasant,1,116,
,2,28,White people,White people,Pleasant,0,134,
,2,29,White people,White people,Pleasant,0,222,
,2,30,Black people,Black people,Pleasant,0,22,
,2,31,White people,White people,Pleasant,0,94,
,2,32,Black people,Black people,Pleasant,0,28,
,2,33,White people,White people,Pleasant,0,114,
,2,34,Black people,Black people,Pleasant,0,116,
,2,35,Black people,Black people,Pleasant,0,224,
,2,36,White people,White people,Pleasant,0,299,
,2,37,Black people,Black people,Pleasant,0,60,
,2,38,White people,White people,Pleasant,0,85,
,2,39,White people,White people,Pleasant,0,100,
,2,40,Black people,Black people,Pleasant,0,35,
,2,41,White people,White people,Pleasant,0,123,
,2,42,Black people,Black people,Unpleasant,1,48,
,2,43,Black people,Black people,Unpleasant,1,111,
,2,44,White people,White people,Unpleasant,1,131,
,3,45,instructions,dummyForLog,space,0,1165,
,3,46,Black people,Black people,Unpleasant,1,367,
,3,47,White people,White people,Pleasant,0,79,
,3,48,White people,White people,Unpleasant,1,181,
,3,49,Black people,Black people,Pleasant,0,111,
,3,50,White people,White people,Unpleasant,1,414,
,3,51,Black people,Black people,Unpleasant,1,28,
,3,52,White people,White people,Unpleasant,1,72,
,3,53,Black people,Black people,Pleasant,0,746,
,3,54,Black people,Black people,Pleasant,0,7,
,3,55,White people,White people,Pleasant,0,34,
,3,56,White people,White people,Pleasant,0,2,
,4,58,instructions,dummyForLog,space,0,1677,
,0,60,instructions,dummyForLog,space,0,1293,
,9,999,end,,,,,After White people: 17 of your responses were Pleasant; 9 of your responses were Unpleasant; <br/>After Black people: 10 of your responses were Unpleasant; 15 of your responses were Pleasant; <br/>
R_spUpWgqnPsRna3T,block,trial,cond,cat,resp,err,rt,fb
,1,0,instructions,dummyForLog,space,0,6340,
,1,1,example,examplePrime,Pleasant,0,936,
,1,2,example,examplePrime,Pleasant,0,98,
,1,3,example,examplePrime,Unpleasant,1,48,
,2,4,instructions,dummyForLog,space,0,1703,
,3,6,instructions,dummyForLog,space,0,741,
,4,8,instructions,dummyForLog,space,0,761,
,0,10,instructions,dummyForLog,space,0,705,
,9,999,end,,,,,There was an error computing your results
R_yKI69sdxEP29XmV,block,trial,cond,cat,resp,err,rt,fb
,1,0,instructions,dummyForLog,space,0,5981,
,1,1,example,examplePrime,Pleasant,0,4320,
,1,2,example,examplePrime,Pleasant,0,4657,
,1,3,example,examplePrime,Pleasant,0,4523,
,2,4,instructions,dummyForLog,space,0,8548,
,2,5,Black people,Black people,Pleasant,0,3379,
,2,6,White people,White people,Pleasant,0,5894,
,2,7,White people,White people,Pleasant,0,1611,
,2,8,Black people,Black people,Pleasant,0,915,
,2,9,Black people,Black people,Pleasant,0,875,
,2,10,White people,White people,Pleasant,0,706,
,2,11,White people,White people,Pleasant,0,878,
,2,12,Black people,Black people,Pleasant,0,477,
,2,13,Black people,Black people,Pleasant,0,464,
,2,14,White people,White people,Pleasant,0,541,
,2,15,Black people,Black people,Pleasant,0,628,
,2,16,White people,White people,Pleasant,0,716,
,2,17,White people,White people,Pleasant,0,607,
,2,18,Black people,Black people,Unpleasant,1,9146,
,2,19,Black people,Black people,Pleasant,0,877,
,2,20,White people,White people,Pleasant,0,734,
,2,21,White people,White people,Pleasant,0,620,
,2,22,Black people,Black people,Pleasant,0,1992,
,2,23,Black people,Black people,Pleasant,0,690,
,2,24,White people,White people,Unpleasant,1,1189,
,2,25,Black people,Black people,Pleasant,0,983,
,2,26,White people,White people,Pleasant,0,599,
,2,27,White people,White people,Pleasant,0,501,
,2,28,Black people,Black people,Pleasant,0,750,
,2,29,Black people,Black people,Pleasant,0,604,
,2,30,White people,White people,Pleasant,0,521,
,2,31,White people,White people,Unpleasant,1,696,
,2,32,Black people,Black people,Pleasant,0,566,
,2,33,Black people,Black people,Pleasant,0,614,
,2,34,White people,White people,Unpleasant,1,458,
,2,35,Black people,Black people,Pleasant,0,679,
,2,36,White people,White people,Pleasant,0,666,
,2,37,White people,White people,Pleasant,0,668,
,2,38,Black people,Black people,Pleasant,0,704,
,2,39,Black people,Black people,Unpleasant,1,565,
,2,40,White people,White people,Pleasant,0,888,
,2,41,Black people,Black people,Pleasant,0,903,
,2,42,White people,White people,Pleasant,0,635,
,2,43,White people,White people,Pleasant,0,674,
,2,44,Black people,Black people,Pleasant,0,631,
,3,45,instructions,dummyForLog,space,0,4403,
,3,46,White people,White people,Pleasant,0,146,
,3,47,Black people,Black people,Pleasant,0,601,
,3,48,Black people,Black people,Pleasant,0,280,
,3,49,White people,White people,Pleasant,0,43,
,3,50,Black people,Black people,Pleasant,0,577,
,3,51,White people,White people,Pleasant,0,787,
,3,52,White people,White people,Pleasant,0,951,
,3,53,Black people,Black people,Pleasant,0,777,
,3,54,White people,White people,Pleasant,0,728,
,3,55,Black people,Black people,Pleasant,0,842,
,3,56,White people,White people,Pleasant,0,672,
,3,57,Black people,Black people,Pleasant,0,628,
,3,58,White people,White people,Pleasant,0,702,
,3,59,Black people,Black people,Unpleasant,1,714,
,3,60,Black people,Black people,Unpleasant,1,646,
,3,61,White people,White people,Pleasant,0,834,
,3,62,White people,White people,Unpleasant,1,808,
,3,63,Black people,Black people,Pleasant,0,529,
,3,64,Black people,Black people,Unpleasant,1,719,
,3,65,White people,White people,Pleasant,0,554,
,3,66,White people,White people,Pleasant,0,498,
,3,67,Black people,Black people,Pleasant,0,614,
,3,68,White people,White people,Pleasant,0,425,
,3,69,Black people,Black people,Pleasant,0,407,
,3,70,White people,White people,Unpleasant,1,352,
,3,71,Black people,Black people,Unpleasant,1,962,
,3,72,Black people,Black people,Unpleasant,1,323,
,3,73,White people,White people,Unpleasant,1,305,
,3,74,Black people,Black people,Pleasant,0,265,
,3,75,White people,White people,Pleasant,0,328,
,3,76,Black people,Black people,Pleasant,0,330,
,3,77,White people,White people,Pleasant,0,281,
,3,78,White people,White people,Pleasant,0,504,
,3,79,Black people,Black people,Pleasant,0,418,
,3,80,White people,White people,Pleasant,0,492,
,3,81,Black people,Black people,Pleasant,0,540,
,3,82,Black people,Black people,Pleasant,0,596,
,3,83,White people,White people,Pleasant,0,595,
,3,84,White people,White people,Pleasant,0,1541,
,3,85,Black people,Black people,Pleasant,0,745,
,4,86,instructions,dummyForLog,space,0,3194,
,4,87,Black people,Black people,Pleasant,0,397,
,4,88,White people,White people,Pleasant,0,307,
,4,89,White people,White people,Pleasant,0,407,
,4,90,Black people,Black people,Pleasant,0,472,
,4,91,Black people,Black people,Pleasant,0,505,
,4,92,White people,White people,Pleasant,0,487,
,4,93,White people,White people,Pleasant,0,558,
,4,94,Black people,Black people,Pleasant,0,764,
,4,95,Black people,Black people,Pleasant,0,599,
,4,96,White people,White people,Pleasant,0,443,
,4,97,White people,White people,Pleasant,0,573,
,4,98,Black people,Black people,Pleasant,0,623,
,4,99,Black people,Black people,Pleasant,0,601,
,4,100,White people,White people,Pleasant,0,605,
,4,101,Black people,Black people,Pleasant,0,516,
,4,102,White people,White people,Pleasant,0,217,
,4,103,White people,White people,Pleasant,0,245,
,4,104,Black people,Black people,Pleasant,0,251,
,4,105,White people,White people,Unpleasant,1,560,
,4,106,Black people,Black people,Pleasant,0,422,
,4,107,Black people,Black people,Pleasant,0,334,
,4,108,White people,White people,Unpleasant,1,339,
,4,109,White people,White people,Pleasant,0,393,
,4,110,Black people,Black people,Unpleasant,1,387,
,4,111,Black people,Black people,Unpleasant,1,645,
,4,112,White people,White people,Unpleasant,1,701,
,4,113,Black people,Black people,Pleasant,0,593,
,4,114,White people,White people,Pleasant,0,557,
,4,115,White people,White people,Pleasant,0,670,
,4,116,Black people,Black people,Pleasant,0,447,
,4,117,White people,White people,Pleasant,0,378,
,4,118,Black people,Black people,Pleasant,0,304,
,4,119,Black people,Black people,Pleasant,0,572,
,4,120,White people,White people,Pleasant,0,486,
,4,121,White people,White people,Pleasant,0,535,
,4,122,Black people,Black people,Pleasant,0,545,
,4,123,White people,White people,Pleasant,0,555,
,4,124,Black people,Black people,Pleasant,0,555,
,4,125,White people,White people,Pleasant,0,328,
,4,126,Black people,Black people,Pleasant,0,582,
,0,127,instructions,dummyForLog,space,0,1526,
,9,999,end,,,,,After Black people: 51 of your responses were Pleasant; 9 of your responses were Unpleasant; <br/>After White people: 51 of your responses were Pleasant; 9 of your responses were Unpleasant; <br/>
R_3oLRqfn1x6yKzrH,block,trial,cond,cat,resp,err,rt,fb
,1,0,instructions,dummyForLog,space,0,1318,
,1,1,example,examplePrime,Unpleasant,1,1221,
,1,2,example,examplePrime,Pleasant,0,1694,
,1,3,example,examplePrime,Unpleasant,1,443,
,2,4,instructions,dummyForLog,space,0,3869,
,2,5,White people,White people,Pleasant,0,157,
,2,6,Black people,Black people,Unpleasant,1,484,
,2,7,Black people,Black people,Pleasant,0,566,
,2,8,White people,White people,Unpleasant,1,494,
,2,9,Black people,Black people,Pleasant,0,508,
,2,10,White people,White people,Unpleasant,1,363,
,2,11,White people,White people,Pleasant,0,450,
,2,12,Black people,Black people,Unpleasant,1,333,
,2,13,White people,White people,Pleasant,0,124,
,2,14,Black people,Black people,Unpleasant,1,178,
,2,15,Black people,Black people,Unpleasant,1,201,
,2,16,White people,White people,Pleasant,0,4255,
,3,18,instructions,dummyForLog,space,0,1587,
,4,20,instructions,dummyForLog,space,0,794,
,0,22,instructions,dummyForLog,space,0,1512,
,9,999,end,,,,,After White people: 4 of your responses were Pleasant; 2 of your responses were Unpleasant; <br/>After Black people: 4 of your responses were Unpleasant; 2 of your responses were Pleasant; <br/>
R_3qL1GKi8kWglNkA,block,trial,cond,cat,resp,err,rt,fb
,1,0,instructions,dummyForLog,space,0,8546,
,1,1,example,examplePrime,Unpleasant,1,1281,
,1,2,example,examplePrime,Unpleasant,1,1160,
,1,3,example,examplePrime,Unpleasant,1,2490,
,2,4,instructions,dummyForLog,space,0,12337,
,3,6,instructions,dummyForLog,space,0,2679,
,4,8,instructions,dummyForLog,space,0,1720,
,0,10,instructions,dummyForLog,space,0,829,
,9,999,end,,,,,There was an error computing your results
R_2f7r5FdGfZ5EYYU,block,trial,cond,cat,resp,err,rt,fb
,1,0,instructions,dummyForLog,space,0,1427125,
,1,1,example,examplePrime,Pleasant,0,2385,
,1,2,example,examplePrime,Unpleasant,1,3173,
,1,3,example,examplePrime,Pleasant,0,1461,
,1,4,example,examplePrime,Pleasant,0,1379,
,1,5,example,examplePrime,Pleasant,0,802,
,1,6,example,examplePrime,Pleasant,0,1146,
,1,7,example,examplePrime,Pleasant,0,1121,
,1,8,example,examplePrime,Pleasant,0,315,
,1,9,example,examplePrime,Pleasant,0,2392,
,1,10,example,examplePrime,Pleasant,0,685,
,2,11,instructions,dummyForLog,space,0,905811,
,2,12,White people,White people,Pleasant,0,1614,
,2,13,Black people,Black people,Unpleasant,1,1210,
,2,14,White people,White people,Pleasant,0,989,
,2,15,Black people,Black people,Pleasant,0,891,
,2,16,White people,White people,Pleasant,0,780,
,2,17,Black people,Black people,Pleasant,0,970,
,2,18,White people,White people,Pleasant,0,961,
,2,19,Black people,Black people,Unpleasant,1,1826,
,2,20,Black people,Black people,Pleasant,0,1147,
,2,21,White people,White people,Unpleasant,1,9271,
,2,22,Black people,Black people,Pleasant,0,16849,
,2,23,White people,White people,Pleasant,0,1157,
,2,24,Black people,Black people,Pleasant,0,1282,
,2,25,White people,White people,Pleasant,0,1929,
,2,26,White people,White people,Pleasant,0,2314,
,2,27,Black people,Black people,Pleasant,0,1274,
,2,28,White people,White people,Pleasant,0,2003,
,2,29,Black people,Black people,Pleasant,0,22541,
,2,30,Black people,Black people,Pleasant,0,4287,
,2,31,White people,White people,Pleasant,0,900,
,3,32,instructions,dummyForLog,space,0,4459,
,3,33,Black people,Black people,Unpleasant,1,6091,
,3,34,White people,White people,Pleasant,0,1322,
,3,35,Black people,Black people,Pleasant,0,2090,
,3,36,White people,White people,Pleasant,0,1350,
,3,37,White people,White people,Unpleasant,1,757,
,3,38,Black people,Black people,Pleasant,0,871,
,3,39,White people,White people,Pleasant,0,848,
,3,40,Black people,Black people,Pleasant,0,755,
,3,41,Black people,Black people,Unpleasant,1,1044,
,3,42,White people,White people,Pleasant,0,926,
,3,43,White people,White people,Pleasant,0,875,
,3,44,Black people,Black people,Pleasant,0,922,
,3,45,Black people,Black people,Pleasant,0,868,
,3,46,White people,White people,Unpleasant,1,896,
,3,47,Black people,Black people,Pleasant,0,927,
,3,48,White people,White people,Pleasant,0,859,
,3,49,Black people,Black people,Pleasant,0,834,
,3,50,White people,White people,Pleasant,0,759,
,3,51,White people,White people,Pleasant,0,742,
,3,52,Black people,Black people,Pleasant,0,600,
,4,53,instructions,dummyForLog,space,0,55542,
,4,54,White people,White people,Unpleasant,1,656,
,4,55,Black people,Black people,Pleasant,0,988,
,4,56,White people,White people,Pleasant,0,771,
,4,57,Black people,Black people,Pleasant,0,837,
,4,58,White people,White people,Pleasant,0,764,
,4,59,Black people,Black people,Pleasant,0,707,
,4,60,Black people,Black people,Pleasant,0,896,
,4,61,White people,White people,Pleasant,0,611,
,4,62,Black people,Black people,Pleasant,0,968,
,4,63,White people,White people,Pleasant,0,755,
,4,64,Black people,Black people,Pleasant,0,959,
,4,65,White people,White people,Pleasant,0,904,
,4,66,Black people,Black people,Unpleasant,1,1219,
,4,67,White people,White people,Unpleasant,1,1501,
,4,68,White people,White people,Pleasant,0,1272,
,4,69,Black people,Black people,Pleasant,0,1280,
,4,70,White people,White people,Pleasant,0,1194,
,4,71,Black people,Black people,Pleasant,0,2874,
,4,72,Black people,Black people,Pleasant,0,858,
,4,73,White people,White people,Pleasant,0,2193,
,0,74,instructions,dummyForLog,space,0,2028,
,9,999,end,,,,,After White people: 25 of your responses were Pleasant; 5 of your responses were Unpleasant; <br/>After Black people: 5 of your responses were Unpleasant; 25 of your responses were Pleasant; <br/>
R_DC5TDy2R11pulk5,block,trial,cond,cat,resp,err,rt,fb
,1,0,instructions,dummyForLog,space,0,597,
,2,2,instructions,dummyForLog,space,0,915,
,2,3,White people,White people,Pleasant,0,541,
,2,4,Black people,Black people,Unpleasant,1,853,
,2,5,Black people,Black people,Pleasant,0,552,
,2,6,White people,White people,Pleasant,0,682,
,2,7,White people,White people,Pleasant,0,558,
,2,8,Black people,Black people,Unpleasant,1,415,
,2,9,White people,White people,Pleasant,0,439,
,2,10,Black people,Black people,Pleasant,0,477,
,2,11,White people,White people,Pleasant,0,579,
,2,12,Black people,Black people,Pleasant,0,610,
,2,13,White people,White people,Pleasant,0,442,
,2,14,Black people,Black people,Pleasant,0,856,
,2,15,White people,White people,Pleasant,0,566,
,2,16,Black people,Black people,Pleasant,0,628,
,2,17,White people,White people,Pleasant,0,667,
,2,18,Black people,Black people,Pleasant,0,540,
,2,19,Black people,Black people,Pleasant,0,491,
,2,20,White people,White people,Pleasant,0,464,
,2,21,White people,White people,Pleasant,0,474,
,2,22,Black people,Black people,Unpleasant,1,416,
,3,23,instructions,dummyForLog,space,0,990,
,3,24,Black people,Black people,Pleasant,0,658,
,3,25,White people,White people,Pleasant,0,387,
,3,26,White people,White people,Pleasant,0,510,
,3,27,Black people,Black people,Pleasant,0,447,
,3,28,Black people,Black people,Unpleasant,1,558,
,3,29,White people,White people,Pleasant,0,482,
,3,30,White people,White people,Pleasant,0,654,
,3,31,Black people,Black people,Unpleasant,1,1350,
,3,32,White people,White people,Pleasant,0,487,
,3,33,Black people,Black people,Pleasant,0,739,
,3,34,Black people,Black people,Pleasant,0,587,
,3,35,White people,White people,Pleasant,0,508,
,3,36,Black people,Black people,Pleasant,0,724,
,3,37,White people,White people,Pleasant,0,466,
,3,38,White people,White people,Pleasant,0,573,
,3,39,Black people,Black people,Pleasant,0,502,
,3,40,Black people,Black people,Pleasant,0,503,
,3,41,White people,White people,Pleasant,0,489,
,3,42,White people,White people,Pleasant,0,594,
,3,43,Black people,Black people,Pleasant,0,481,
,4,44,instructions,dummyForLog,space,0,1433,
,4,45,White people,White people,Pleasant,0,569,
,4,46,Black people,Black people,Unpleasant,1,1101,
,4,47,Black people,Black people,Pleasant,0,486,
,4,48,White people,White people,Pleasant,0,507,
,4,49,White people,White people,Pleasant,0,537,
,4,50,Black people,Black people,Unpleasant,1,479,
,4,51,White people,White people,Pleasant,0,491,
,4,52,Black people,Black people,Pleasant,0,466,
,4,53,Black people,Black people,Unpleasant,1,354,
,4,54,White people,White people,Pleasant,0,426,
,4,55,White people,White people,Unpleasant,1,329,
,4,56,Black people,Black people,Pleasant,0,670,
,4,57,Black people,Black people,Pleasant,0,788,
,4,58,White people,White people,Pleasant,0,629,
,4,59,Black people,Black people,Pleasant,0,638,
,4,60,White people,White people,Unpleasant,1,464,
,4,61,White people,White people,Pleasant,0,534,
,4,62,Black people,Black people,Pleasant,0,430,
,4,63,White people,White people,Pleasant,0,482,
,4,64,Black people,Black people,Pleasant,0,493,
,0,65,instructions,dummyForLog,space,0,1453,
,9,999,end,,,,,After White people: 28 of your responses were Pleasant; 2 of your responses were Unpleasant; <br/>After Black people: 8 of your responses were Unpleasant; 22 of your responses were Pleasant; <br/>